id_fuente,suma_EFA,suma_GEE,Descuento_FNCE,Descuento_GEE,FNCE,GEE,GEE_final
866063.0,0,0,0.0,0.0,0.0,0.0,0.0
866068.0,0,0,0.0,0.0,0.0,0.0,0.0
866071.0,0,0,0.0,0.0,0.0,0.0,0.0
866072.0,0,0,0.0,0.0,0.0,0.0,0.0
866084.0,0,0,0.0,0.0,0.0,0.0,0.0
866090.0,0,0,0.0,0.0,0.0,0.0,0.0
866092.0,0,67168,0.0,33584.0,0.0,33584.0,33584.0
866098.0,0,0,0.0,0.0,0.0,0.0,0.0
866099.0,0,0,0.0,0.0,0.0,0.0,0.0
866101.0,0,0,0.0,0.0,0.0,0.0,0.0
866104.0,0,0,0.0,0.0,0.0,0.0,0.0
866107.0,0,0,0.0,0.0,0.0,0.0,0.0
866111.0,0,0,0.0,0.0,0.0,0.0,0.0
866115.0,0,145000,0.0,72500.0,0.0,72500.0,36250.0
866123.0,0,11000,0.0,5500.0,0.0,5500.0,5500.0
866125.0,0,1921,0.0,960.5,0.0,960.5,960.5
866132.0,0,0,0.0,0.0,0.0,0.0,0.0
866140.0,0,0,0.0,0.0,0.0,0.0,0.0
866145.0,0,0,0.0,0.0,0.0,0.0,0.0
866159.0,0,8000,0.0,4000.0,0.0,4000.0,4000.0
866167.0,0,0,0.0,0.0,0.0,0.0,0.0
866177.0,0,0,0.0,0.0,0.0,0.0,0.0
866178.0,0,0,0.0,0.0,0.0,0.0,0.0
866181.0,0,0,0.0,0.0,0.0,0.0,0.0
866182.0,0,0,0.0,0.0,0.0,0.0,0.0
866185.0,0,0,0.0,0.0,0.0,0.0,0.0
866201.0,0,0,0.0,0.0,0.0,0.0,0.0
866202.0,0,59538,0.0,29769.0,0.0,29769.0,29769.0
866211.0,0,0,0.0,0.0,0.0,0.0,0.0
866218.0,0,0,0.0,0.0,0.0,0.0,0.0
866231.0,0,0,0.0,0.0,0.0,0.0,0.0
866233.0,0,0,0.0,0.0,0.0,0.0,0.0
866238.0,0,0,0.0,0.0,0.0,0.0,0.0
866243.0,0,0,0.0,0.0,0.0,0.0,0.0
866245.0,0,0,0.0,0.0,0.0,0.0,0.0
866252.0,0,0,0.0,0.0,0.0,0.0,0.0
866257.0,0,0,0.0,0.0,0.0,0.0,0.0
866272.0,0,1350,0.0,675.0,0.0,675.0,675.0
866273.0,0,0,0.0,0.0,0.0,0.0,0.0
866279.0,0,221924,0.0,110962.0,0.0,110962.0,55843.5
866283.0,0,0,0.0,0.0,0.0,0.0,0.0
866284.0,0,100000,0.0,50000.0,0.0,50000.0,25000.0
866291.0,0,0,0.0,0.0,0.0,0.0,0.0
866296.0,0,0,0.0,0.0,0.0,0.0,0.0
866297.0,0,0,0.0,0.0,0.0,0.0,0.0
866300.0,0,0,0.0,0.0,0.0,0.0,0.0
866318.0,0,0,0.0,0.0,0.0,0.0,0.0
866320.0,0,9683,0.0,4841.5,0.0,4841.5,4841.5
866323.0,0,0,0.0,0.0,0.0,0.0,0.0
866327.0,0,0,0.0,0.0,0.0,0.0,0.0
866332.0,0,0,0.0,0.0,0.0,0.0,0.0
866338.0,0,0,0.0,0.0,0.0,0.0,0.0
866341.0,0,64072,0.0,32036.0,0.0,32036.0,32036.0
866346.0,0,0,0.0,0.0,0.0,0.0,0.0
866358.0,0,0,0.0,0.0,0.0,0.0,0.0
866359.0,0,0,0.0,0.0,0.0,0.0,0.0
866360.0,0,0,0.0,0.0,0.0,0.0,0.0
866378.0,0,0,0.0,0.0,0.0,0.0,0.0
866388.0,0,0,0.0,0.0,0.0,0.0,0.0
866392.0,0,5000,0.0,2500.0,0.0,2500.0,2500.0
866399.0,0,0,0.0,0.0,0.0,0.0,0.0
866418.0,0,119939,0.0,59969.5,0.0,59969.5,59969.5
866425.0,0,0,0.0,0.0,0.0,0.0,0.0
866426.0,0,0,0.0,0.0,0.0,0.0,0.0
866430.0,0,14023,0.0,7011.5,0.0,7011.5,7011.5
866431.0,0,0,0.0,0.0,0.0,0.0,0.0
866436.0,0,0,0.0,0.0,0.0,0.0,0.0
866440.0,0,0,0.0,0.0,0.0,0.0,0.0
866458.0,0,0,0.0,0.0,0.0,0.0,0.0
866464.0,0,0,0.0,0.0,0.0,0.0,0.0
866478.0,0,0,0.0,0.0,0.0,0.0,0.0
866492.0,0,0,0.0,0.0,0.0,0.0,0.0
866527.0,0,0,0.0,0.0,0.0,0.0,0.0
866533.0,0,0,0.0,0.0,0.0,0.0,0.0
866547.0,0,0,0.0,0.0,0.0,0.0,0.0
866551.0,0,0,0.0,0.0,0.0,0.0,0.0
866553.0,0,0,0.0,0.0,0.0,0.0,0.0
866555.0,0,15106,0.0,7553.0,0.0,7553.0,7553.0
866574.0,0,0,0.0,0.0,0.0,0.0,0.0
866576.0,0,41785,0.0,20892.5,0.0,20892.5,20892.5
866577.0,0,805,0.0,402.5,0.0,402.5,402.5
866581.0,0,0,0.0,0.0,0.0,0.0,0.0
866585.0,0,0,0.0,0.0,0.0,0.0,0.0
866591.0,0,0,0.0,0.0,0.0,0.0,0.0
866604.0,0,800,0.0,400.0,0.0,400.0,400.0
866606.0,0,0,0.0,0.0,0.0,0.0,0.0
866613.0,0,0,0.0,0.0,0.0,0.0,0.0
866628.0,0,0,0.0,0.0,0.0,0.0,0.0
866630.0,0,0,0.0,0.0,0.0,0.0,0.0
866631.0,0,800,0.0,400.0,0.0,400.0,400.0
866635.0,0,0,0.0,0.0,0.0,0.0,0.0
866640.0,0,0,0.0,0.0,0.0,0.0,0.0
866658.0,0,0,0.0,0.0,0.0,0.0,0.0
866660.0,0,0,0.0,0.0,0.0,0.0,0.0
866662.0,0,0,0.0,0.0,0.0,0.0,0.0
866666.0,0,0,0.0,0.0,0.0,0.0,0.0
866688.0,365000,0,182500.0,0.0,182500.0,0.0,0.0
866691.0,0,1677,0.0,838.5,0.0,838.5,838.5
866697.0,0,0,0.0,0.0,0.0,0.0,0.0
866700.0,0,0,0.0,0.0,0.0,0.0,0.0
866702.0,0,0,0.0,0.0,0.0,0.0,0.0
866708.0,0,0,0.0,0.0,0.0,0.0,0.0
866728.0,0,5000,0.0,2500.0,0.0,2500.0,2500.0
866740.0,0,32210,0.0,16105.0,0.0,16105.0,16105.0
866741.0,0,0,0.0,0.0,0.0,0.0,0.0
866742.0,0,0,0.0,0.0,0.0,0.0,0.0
866750.0,0,0,0.0,0.0,0.0,0.0,0.0
866751.0,0,0,0.0,0.0,0.0,0.0,0.0
866752.0,0,763,0.0,381.5,0.0,381.5,190.75
866758.0,0,0,0.0,0.0,0.0,0.0,0.0
866761.0,0,0,0.0,0.0,0.0,0.0,0.0
866774.0,0,13000,0.0,6500.0,0.0,6500.0,6500.0
866785.0,0,0,0.0,0.0,0.0,0.0,0.0
866787.0,0,21590,0.0,10795.0,0.0,10795.0,5397.5
866788.0,0,0,0.0,0.0,0.0,0.0,0.0
866799.0,0,0,0.0,0.0,0.0,0.0,0.0
866821.0,0,0,0.0,0.0,0.0,0.0,0.0
866828.0,167427,35404,83713.5,17702.0,83713.5,17702.0,17702.0
866831.0,0,0,0.0,0.0,0.0,0.0,0.0
866832.0,0,0,0.0,0.0,0.0,0.0,0.0
