id_fuente,region,FNCE,Descuento_FNCE,GEE_final,Descuento_GEE,Sugerencia
141820.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141824.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141827.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141831.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141833.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141834.0,6,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141838.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141840.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141857.0,2,0.0,0.0,11951.0,11951.0,Considerar invertir en EFA
141858.0,3,78447.0,78447.0,0.0,0.0,Considerar invertir en GEE
141864.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141871.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141884.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141904.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141927.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141928.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141943.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141970.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141978.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141979.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
141993.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142013.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142015.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142031.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142033.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142034.0,3,0.0,0.0,2375.0,2375.0,Considerar invertir en EFA
142037.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142053.0,4,180799.5,180799.5,2204710.6875,2247327.4375,Considerar invertir en EFA
142054.0,3,0.0,0.0,48784.875,48784.875,Considerar invertir en EFA
142055.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142057.0,4,0.0,0.0,104136.625,104136.625,Considerar invertir en EFA
142058.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142059.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142060.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142061.0,3,11838.0,11838.0,0.0,0.0,Considerar invertir en GEE
