id_fuente,cod_div_ind,region,año,inv tierras y terrenos EFA,inv maquinaria y equipo EFA,inv construcciones y edificaciones EFA,inversión total EFA,materiales y suministros EFA,pequeñas herramientas EFA,mantenimiento de equipos EFA,"medición, control y análisis EFA",total costos y gastos EFA,total inversión y gastos EFA,inv maquinaria y equipo (GEE),inv construcciones y edificaciones (GEE),inversión total (GEE),materiales y suministros (GEE),pequeñas herramientas (GEE),mantenimiento de equipos (GEE),"medición, control y análisis (GEE)",total costos y gastos (GEE),total inversión y gastos (GEE)
141036.0,2,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141037.0,9,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141042.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141044.0,9,3,2019,0,36863,0,36863,0,0,0,0,0,36863,10800,0,10800,0,0,7402,7140,14542,25342
141046.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141052.0,9,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141056.0,2,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141057.0,3,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141060.0,1,6,2019,0,0,0,0,0,0,24820,0,24820,24820,0,0,0,282,0,0,0,282,282
141064.0,1,4,2019,0,30435,0,30435,151021,0,33382,0,184403,214838,0,169057,169057,0,0,0,234535,234535,403592
141065.0,9,4,2019,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,2000,2000,3000
141069.0,3,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141071.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141074.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141076.0,8,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141079.0,9,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141097.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,117582,0,117582,0,4000,220520,5500,230020,347602
141099.0,4,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141592.0,3,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141594.0,9,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141596.0,9,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141597.0,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141605.0,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141607.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141617.0,2,2,2019,0,0,0,0,0,0,3617,0,3617,3617,0,0,0,170,0,0,0,170,170
141620.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141622.0,7,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141625.0,4,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141628.0,1,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141632.0,9,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141637.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141638.0,5,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141639.0,8,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141643.0,1,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141644.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141645.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141648.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141649.0,5,3,2019,0,0,0,0,1980817,117000,275000,0,2372817,2372817,0,0,0,0,0,0,0,0,0
141650.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141652.0,9,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141656.0,9,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141657.0,1,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141665.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141667.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141671.0,3,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141672.0,1,6,2019,0,0,0,0,0,0,24820,0,24820,24820,0,0,0,282,0,0,0,282,282
141676.0,8,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141692.0,5,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,45757,0,0,0,45757,45757
141693.0,9,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
